Time;TLV2;NumPeople;ID1;Q1;X1;Y1;Z1;Vx1;Vy1;Vz1;ID2;Q2;X2;Y2;Z2;Vx2;Vy2;Vz2
11:27:19.037;02;1;0;0.00;0.17;-1.31;1.35;-1.31;0.75;0.74;None;;;;;;;
11:27:19.435;02;1;0;0.00;0.01;-1.20;1.46;-1.43;0.89;0.91;None;;;;;;;
11:27:19.837;02;1;0;0.00;-0.16;-1.03;1.61;-1.52;1.14;1.05;None;;;;;;;
11:27:20.239;02;1;0;0.00;-0.26;-0.87;1.70;-1.42;1.28;1.02;None;;;;;;;
11:27:20.638;02;1;64;0.00;-0.40;-0.74;1.81;-0.72;0.66;0.51;None;;;;;;;
11:27:21.040;02;1;64;0.00;-0.40;-0.74;1.81;-0.36;0.33;0.26;None;;;;;;;
11:27:21.433;02;1;64;0.00;-0.40;-0.74;1.81;-0.18;0.16;0.13;None;;;;;;;
11:27:21.833;02;2;64;0.00;-0.40;-0.74;1.81;-0.09;0.08;0.06;0;0.00;-0.20;0.46;1.84;0.22;0.94;0.21
11:27:22.231;02;2;64;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;0;0.00;-0.15;0.65;1.85;0.34;1.28;0.15
11:27:22.632;02;2;64;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;0;0.00;-0.14;0.84;1.83;0.28;1.45;0.02
11:27:23.030;02;2;64;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;0;0.00;-0.08;0.97;1.78;0.35;1.36;-0.27
11:27:23.433;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;-0.03;1.09;1.74;0.41;1.31;-0.40
11:27:23.831;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.03;1.19;1.70;0.46;1.21;-0.50
11:27:24.230;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.14;1.25;1.68;0.61;1.04;-0.54
11:27:24.632;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.21;1.24;1.66;0.65;0.76;-0.57
11:27:25.031;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.23;1.18;1.68;0.58;0.44;-0.48
11:27:25.432;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.18;1.10;1.72;0.38;0.13;-0.37
11:27:25.835;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.13;0.84;1.85;0.20;-0.48;-0.08
11:27:26.233;02;2;80;0.00;-0.40;-0.74;1.81;0.00;0.00;0.00;64;0.00;0.10;0.68;1.89;0.06;-0.84;0.02
11:27:26.636;02;2;80;0.00;-0.39;-0.70;1.83;0.03;0.09;0.03;64;0.00;0.07;0.53;1.94;-0.06;-1.14;0.09
11:27:27.034;02;2;80;0.00;-0.39;-0.69;1.83;0.03;0.10;0.03;64;0.00;0.04;0.39;1.95;-0.14;-1.37;0.11
11:27:27.437;02;2;80;0.00;-0.39;-0.69;1.83;0.03;0.10;0.03;64;0.00;0.01;0.25;2.00;-0.23;-1.56;0.16
11:27:27.836;02;2;80;0.00;-0.39;-0.69;1.83;0.03;0.10;0.03;64;0.00;-0.02;0.08;2.02;-0.28;-1.75;0.17
11:27:28.234;02;2;80;0.00;-0.39;-0.69;1.83;0.03;0.10;0.03;64;0.00;-0.02;0.08;2.02;-0.14;-0.88;0.08
11:27:28.636;02;2;80;0.00;-0.41;-0.69;1.80;-0.03;0.10;-0.02;64;0.00;-0.02;0.08;2.02;-0.07;-0.44;0.04
11:27:29.037;02;2;80;0.00;-0.43;-0.79;1.74;-0.04;-0.10;-0.14;64;0.00;-0.02;0.08;2.02;-0.04;-0.22;0.02
11:27:29.437;02;2;80;0.00;-0.45;-0.77;1.73;-0.08;-0.05;-0.18;64;0.00;-0.02;0.08;2.02;-0.02;-0.11;0.01
11:27:29.837;02;2;80;0.00;-0.46;-0.74;1.73;-0.07;0.03;-0.17;64;0.00;-0.02;0.08;2.02;-0.02;-0.11;0.01
11:27:30.235;02;2;80;0.00;-0.47;-0.73;1.71;-0.08;0.04;-0.19;64;0.00;-0.02;0.08;2.02;0.00;0.00;0.00
11:27:30.633;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.02;0.08;2.02;0.00;0.00;0.00
11:27:31.033;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.06;0.05;1.99;-0.07;-0.06;-0.02
11:27:31.435;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.14;0.11;1.94;-0.21;0.06;-0.07
11:27:31.832;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.18;0.27;1.91;-0.26;0.32;-0.10
11:27:32.231;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.13;0.36;1.91;-0.16;0.43;-0.09
11:27:32.630;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;-0.10;0.54;1.88;-0.09;0.68;-0.11
11:27:33.030;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.00;0.71;1.86;0.07;0.88;-0.12
11:27:33.430;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.07;0.84;1.85;0.16;1.00;-0.14
11:27:33.831;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.09;0.94;1.81;0.19;1.04;-0.18
11:27:34.232;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.08;0.92;1.82;0.15;0.90;-0.18
11:27:34.629;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.07;0.94;1.78;0.12;0.84;-0.21
11:27:35.033;02;2;80;0.00;-0.47;-0.73;1.71;0.00;0.00;0.00;64;0.00;0.08;0.83;1.78;0.13;0.61;-0.20
